 52 
 3500 3500 
 365 185 67525 
 378 200 75600 
 410 165 67650 
 425 148 62900 
 425 296 125800 
 439 116 50924 
 464 1006 466784 
 520 205 106600 
 520 350 182000 
 540 530 286200 
 549 1413 775737 
 549 1882 1033218 
 553 496 274288 
 555 755 419025 
 555 496 275280 
 555 659 365745 
 567 473 268191 
 572 592 338624 
 572 975 557700 
 572 1175 672100 
 572 1575 900900 
 572 1390 795080 
 572 1490 852280 
 572 1590 909480 
 572 1690 966680 
 572 1890 1081080 
 610 625 381250 
 660 490 323400 
 690 447 308430 
 949 445 422305 
 949 478 453622
 970 463 449110
 730 300 219000 
 269 717 192873 
 463 369 170847 
 642 464 297888 
 453 329 149037 
 455 667 303485 
 506 482 243892 
 560 362 202720 
 483 260 125580 
 693 345 239085 
 381 510 194310 
 456 586 267216 
 457 453 207021 
 707 658 465206 
 639 650 415350 
 691 359 248069 
 434 700 303800 
 576 291 167616 
 728 739 537992 
 545 742 404390 
gcut15
